"SubscriptionName","SubscriptionId","TenantId","State","SubscriptionPolicies","Tags"
"Azure subscription 1","a86624d2-8612-4361-b588-49136540023f","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","FreeTrial_2014-09-01","None"
"Azure subscription 1","8a992b09-09d4-4ac0-98e7-57f8b24756b4","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","PayAsYouGo_2014-09-01","None"
"Azure subscription 1","e0281110-dd91-40e3-b672-c97d55d0eee6","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","FreeTrial_2014-09-01","None"
"Azure subscription 1","a7c27c8f-0411-4959-8237-cc25458fdaf5","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","FreeTrial_2014-09-01","None"
"Azure subscription 1","37945068-ecc2-44f4-ba9b-d7bf54d165e1","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","PayAsYouGo_2014-09-01","None"
"Azure subscription 1","6f786934-66cb-48dd-9c9b-b3c0a832717b","46c98d88-e344-4ed4-8496-4ed7712e255d","Disabled","FreeTrial_2014-09-01","None"
"Azure subscription 1","0c395d0f-0747-42cf-926c-9025a0324adb","46c98d88-e344-4ed4-8496-4ed7712e255d","Disabled","FreeTrial_2014-09-01","None"
"Azure subscription 1","ebf05716-e594-4e91-bc86-efc3f63e1e81","46c98d88-e344-4ed4-8496-4ed7712e255d","Warned","FreeTrial_2014-09-01","None"
"Azure subscription 1","a081fa90-35ff-4e9b-93a2-28deb97e05a0","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","PayAsYouGo_2014-09-01","None"
"Azure subscription 1","feaf35a5-d25d-4940-8c78-b8f9be224e2a","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","FreeTrial_2014-09-01","None"
"Azure subscription 1","9ee00d65-c891-4a1a-bb5a-8e434d0a7eac","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","FreeTrial_2014-09-01","None"
"Azure subscription 1","e5511b93-9c9f-4e91-a63c-12be03bdb6c7","46c98d88-e344-4ed4-8496-4ed7712e255d","Disabled","FreeTrial_2014-09-01","None"
"Azure subscription 1","be48ae78-baa7-4084-bb31-ed5c880ad6be","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","FreeTrial_2014-09-01","None"
"Azure subscription 1","8670bb60-04e0-4f86-812a-5344ec28a34f","46c98d88-e344-4ed4-8496-4ed7712e255d","Disabled","FreeTrial_2014-09-01","None"
"Azure subscription 1","7e39e589-2341-4233-9dd0-6e3a50bc1447","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","PayAsYouGo_2014-09-01","None"
"Azure subscription 1","c69af086-6b8f-4441-aebb-a6df357dae7b","46c98d88-e344-4ed4-8496-4ed7712e255d","Disabled","FreeTrial_2014-09-01","None"
"Azure subscription 1","ba7a8ad3-e688-4f89-94f0-93481564bb84","46c98d88-e344-4ed4-8496-4ed7712e255d","Disabled","PayAsYouGo_2014-09-01","None"
"Azure subscription 1","a312cf34-b597-4f27-a07f-7f0a03e2a727","46c98d88-e344-4ed4-8496-4ed7712e255d","Disabled","FreeTrial_2014-09-01","None"
"Azure subscription 1","5ed05d9f-ce0e-4c74-b2a3-44bef80efebf","46c98d88-e344-4ed4-8496-4ed7712e255d","Disabled","FreeTrial_2014-09-01","None"
"Azure subscription 1","18087b9b-f5ed-41ac-b95c-ef0b984637fc","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","FreeTrial_2014-09-01","None"
"Azure TDX with SAP","097bdd83-9141-42a3-96f2-d1c748fb76ed","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"Azure Tech Acceptance","a8b6da83-61b8-441b-bd3d-12240d114135","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"Azure WAF Exploration","69dcab7f-7b17-4a6b-aab5-e75ca62cc247","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"AZURE_CloudRA","b225980d-c07f-48b8-9b71-1dcd515551c7","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"azure-arc-hybrid-scvmm","d2f7d3f8-6268-4317-926a-334452a83f59","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"AZURE-BDIV-AUTO","8c58d026-4708-4e20-8581-1b34a1f16e00","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"azure-neural-compressor","9f30a71d-12a2-42e2-badd-7f15da18469c","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
"azure-test-2025","32fd222e-369d-4ab9-805a-9c65e9cea1ae","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"AzureAD B2C CD","ab94842d-2ba1-44c8-9d9c-ba3bf851581e","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","Environment=CD; IAP=14066; Data Classification=Confidential"
"AzureAD B2C PP","41c02185-99ef-497e-906a-06962163bcf7","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","MSDNDevTest_2014-09-01","None"
"AzureAD B2C PR","b1f5f940-8c36-4274-9275-662822760ab4","46c98d88-e344-4ed4-8496-4ed7712e255d","Enabled","EnterpriseAgreement_2014-09-01","None"
