"KeyVaultName","SubscriptionName","SubscriptionId","ResourceGroupName","Location","ResourceId","VaultUri","Sku","TenantId","EnabledForDeployment","EnabledForDiskEncryption","EnabledForTemplateDeployment","EnableSoftDelete","SoftDeleteRetentionInDays","EnablePurgeProtection","EnableRbacAuthorization","PublicNetworkAccess","PrivateEndpointConnections","Tags","DiagnosticSettings"
,"altera-nga","ccdd4529-0b6b-42c4-a609-80691c0f58f5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"altera-nga","ccdd4529-0b6b-42c4-a609-80691c0f58f5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"altera-nga","ccdd4529-0b6b-42c4-a609-80691c0f58f5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"altera-nga","ccdd4529-0b6b-42c4-a609-80691c0f58f5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"altera-nga","ccdd4529-0b6b-42c4-a609-80691c0f58f5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"altera-nga","ccdd4529-0b6b-42c4-a609-80691c0f58f5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"altera-nga","ccdd4529-0b6b-42c4-a609-80691c0f58f5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"altera-nga","ccdd4529-0b6b-42c4-a609-80691c0f58f5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"altera-nga","ccdd4529-0b6b-42c4-a609-80691c0f58f5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"altera-nga","ccdd4529-0b6b-42c4-a609-80691c0f58f5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CCVG-DPD TCE Intel Dist of Python and Intel DAAL testing","28577bd0-a338-42f8-b3ce-6bf80ed1639d",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CCVG-DPD TCE Intel Dist of Python and Intel DAAL testing","28577bd0-a338-42f8-b3ce-6bf80ed1639d",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CCVG-DPD TCE Intel Dist of Python and Intel DAAL testing","28577bd0-a338-42f8-b3ce-6bf80ed1639d",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CCVG-DPD TCE Intel Dist of Python and Intel DAAL testing","28577bd0-a338-42f8-b3ce-6bf80ed1639d",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CCVG-DPD TCE Intel Dist of Python and Intel DAAL testing","28577bd0-a338-42f8-b3ce-6bf80ed1639d",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CCID GenAI Projects","a2dda039-f54d-4d32-a96d-feb5893182bb",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CCID GenAI Projects","a2dda039-f54d-4d32-a96d-feb5893182bb",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CCID GenAI Projects","a2dda039-f54d-4d32-a96d-feb5893182bb",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CCID GenAI Projects","a2dda039-f54d-4d32-a96d-feb5893182bb",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CCID GenAI Projects","a2dda039-f54d-4d32-a96d-feb5893182bb",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
"CESGSWKV","cdm-dev1-discrete","9609c34f-0add-4cda-a739-ea50678fe584","rg-extvnet-cesgw","westus","/subscriptions/da8f657d-e024-45b0-91ee-97fc91808e40/resourceGroups/rg-extvnet-cesgw/providers/Microsoft.KeyVault/vaults/CESGSWKV","https://cesgswkv.vault.azure.net/","Standard","46c98d88-e344-4ed4-8496-4ed7712e255d","False","True","False","True","90","True","True","Disabled","Not configured","Environment=Test; IAP=36601","Configured (1 setting(s))"
,"Charles Chu AI Product","07946577-f028-49e8-968c-3964485b79ab",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CIDaaS-PR","13b3f7d9-3f65-4e17-b070-b74489862520",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Co-Design for Validation","d6d5e82a-5ed2-4a30-abfa-c29c13270578",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"commissions","dd61169f-1162-487b-a86b-262e64828fe5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"commissions","dd61169f-1162-487b-a86b-262e64828fe5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-deo-dev1","ebc93020-47e7-4375-8970-d4f643514edf",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-deo-dev1","ebc93020-47e7-4375-8970-d4f643514edf",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-deo-m2","7c347992-0241-4de0-a2c2-f2b0e0d26a23",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-deo-m2","7c347992-0241-4de0-a2c2-f2b0e0d26a23",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-cda-m2","1826cc63-cedb-43fa-b279-c7a7c3b51a4b",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-cda-m2","1826cc63-cedb-43fa-b279-c7a7c3b51a4b",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Cognitive Computing Research","0d38e021-c5ae-43ac-881c-917195b32f95",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Cognitive Computing Research","0d38e021-c5ae-43ac-881c-917195b32f95",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-cda-m3","74ae4519-22f7-435a-aba5-a07780595fb6",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-cda-m3","74ae4519-22f7-435a-aba5-a07780595fb6",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Cooperstown 3","80d1abed-f41e-485e-bfb7-e90efb0b56cc",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Cooperstown 3","80d1abed-f41e-485e-bfb7-e90efb0b56cc",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"Cooperstown 3","80d1abed-f41e-485e-bfb7-e90efb0b56cc",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-deo-m3","ef2597f7-212a-49bb-b2ea-c37e883f8cf0",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-deo-m3","ef2597f7-212a-49bb-b2ea-c37e883f8cf0",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-deo-m3","ef2597f7-212a-49bb-b2ea-c37e883f8cf0",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-ltg-m2","a740eb64-e03b-47ae-bfcd-27dfb5dea810",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-ltg-m2","a740eb64-e03b-47ae-bfcd-27dfb5dea810",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-ltg-m2","a740eb64-e03b-47ae-bfcd-27dfb5dea810",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-ltg-m2","a740eb64-e03b-47ae-bfcd-27dfb5dea810",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-ltg-m2","a740eb64-e03b-47ae-bfcd-27dfb5dea810",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-finance-m2","d8462755-be10-46ee-912c-d3e68c8e048c",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-finance-m2","d8462755-be10-46ee-912c-d3e68c8e048c",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-finance-m2","d8462755-be10-46ee-912c-d3e68c8e048c",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-finance-m2","d8462755-be10-46ee-912c-d3e68c8e048c",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-finance-m2","d8462755-be10-46ee-912c-d3e68c8e048c",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-finance-m2","d8462755-be10-46ee-912c-d3e68c8e048c",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-finance-m2","d8462755-be10-46ee-912c-d3e68c8e048c",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CP - Central Data Store - PreProd","125ec4a5-fc66-4f38-8b0d-bb8fb9e3510a",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CP - Central Data Store - PreProd","125ec4a5-fc66-4f38-8b0d-bb8fb9e3510a",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"CP - Central Data Store - PreProd","125ec4a5-fc66-4f38-8b0d-bb8fb9e3510a",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
