"KeyVaultName","SubscriptionName","SubscriptionId","ResourceGroupName","Location","ResourceId","VaultUri","Sku","TenantId","EnabledForDeployment","EnabledForDiskEncryption","EnabledForTemplateDeployment","EnableSoftDelete","SoftDeleteRetentionInDays","EnablePurgeProtection","EnableRbacAuthorization","PublicNetworkAccess","PrivateEndpointConnections","Tags","DiagnosticSettings"
,"cda-m4","d9816cbb-1cee-4eaa-910d-45580fc58aac",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cda-m4","d9816cbb-1cee-4eaa-910d-45580fc58aac",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cda-m4","d9816cbb-1cee-4eaa-910d-45580fc58aac",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cda-m4","d9816cbb-1cee-4eaa-910d-45580fc58aac",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cda-m4","d9816cbb-1cee-4eaa-910d-45580fc58aac",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cda-m4","d9816cbb-1cee-4eaa-910d-45580fc58aac",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"commissions","dd61169f-1162-487b-a86b-262e64828fe5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"commissions","dd61169f-1162-487b-a86b-262e64828fe5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"commissions","dd61169f-1162-487b-a86b-262e64828fe5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-cda-m2","1826cc63-cedb-43fa-b279-c7a7c3b51a4b",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-cda-m2","1826cc63-cedb-43fa-b279-c7a7c3b51a4b",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-cda-m3","74ae4519-22f7-435a-aba5-a07780595fb6",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-cda-m3","74ae4519-22f7-435a-aba5-a07780595fb6",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-cda-m3","74ae4519-22f7-435a-aba5-a07780595fb6",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"covalidator","4e86f6aa-ee08-4cf6-82e0-357cdff5ad53",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"covalidator","4e86f6aa-ee08-4cf6-82e0-357cdff5ad53",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"covalidator","4e86f6aa-ee08-4cf6-82e0-357cdff5ad53",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"coveragelens-2025","1bf1e7bc-3abe-40ff-bde1-1453d9767179",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"coveragelens-2025","1bf1e7bc-3abe-40ff-bde1-1453d9767179",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"coveragelens-2025","1bf1e7bc-3abe-40ff-bde1-1453d9767179",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cp-cda-dev1","0ab7a005-66f7-4958-9544-595e045c4cb3",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cp-cda-dev1","0ab7a005-66f7-4958-9544-595e045c4cb3",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cp-cda-m4","4bc9606f-4ab8-4c2c-8e63-15f2f56d58f8",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cp-cda-m4","4bc9606f-4ab8-4c2c-8e63-15f2f56d58f8",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cp-cda-preprod-m1","93fce89b-91fd-468e-8fbf-f6f817630dc8",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cp-cda-preprod-m1","93fce89b-91fd-468e-8fbf-f6f817630dc8",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cp-cda-preprod-m1","93fce89b-91fd-468e-8fbf-f6f817630dc8",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cp-cda-prod","b5ddc7a4-70ae-4856-88ff-18f04e6be3e7",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cp-cda-prod","b5ddc7a4-70ae-4856-88ff-18f04e6be3e7",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"cp-cda-prod","b5ddc7a4-70ae-4856-88ff-18f04e6be3e7",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
"cp-kv-iac-m7-ms","cp-cda-m7","9db22c64-21a9-4e10-a408-d2ab842dec3d","cp-rg-iac-m7-ms","westus","/subscriptions/9db22c64-21a9-4e10-a408-d2ab842dec3d/resourceGroups/cp-rg-iac-m7-ms/providers/Microsoft.KeyVault/vaults/cp-kv-iac-m7-ms","https://cp-kv-iac-m7-ms.vault.azure.net/","Standard","46c98d88-e344-4ed4-8496-4ed7712e255d","False","False","False","True","90",,"True","Enabled","Not configured","created  by=poojax.marakala","Configured (1 setting(s))"
,"cp-cda-m7","9db22c64-21a9-4e10-a408-d2ab842dec3d",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-mdata-m2","56e5922c-28e5-4842-8d7e-2cb9127450c5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-mdata-m2","56e5922c-28e5-4842-8d7e-2cb9127450c5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-mdata-m2","56e5922c-28e5-4842-8d7e-2cb9127450c5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
,"corp-mdata-m2","56e5922c-28e5-4842-8d7e-2cb9127450c5",,,,,,,,,,,,,,,"Not configured","None","Unable to retrieve"
